id_screen,id_fileentity,screen_number,screen_type,screen_field,screen_desc
10101,101,1,l,NULL,"# Registros"
10102,101,2,l,NULL,"# Clientes distintos"
10103,101,3,l,NULL,"# Duplicados en PK (COUNTRY_ID, MONTH_ID, OB_ID, CUSTOMER_ID)"
10104,101,4,l,ob_id,"# Clientes por ob_id"
10105,101,5,l,NULL,"# Clientes con party_identification_num = -1"
10106,101,6,l,party_type_cd,"# Clientes por party_type_cd"
10107,101,7,l,party_identification_type_cd,"# Clientes por party_identification_type_cd"
10108,101,8,l,segment_cd,"# Clientes por segment_cd"
10109,101,9,l,age_id,"# Clientes por age_id"
10110,101,10,l,gender_type_cd,"# Clientes por gender_type_cd"
10111,101,11,l,cust_prod_qt,"# Clientes por cust_prod_qt"
10112,101,12,l,cust_life_cycle,"# Clientes por cust_life_cycle"
10113,101,13,l,socioeconomic_level,"# Clientes por socioeconomic_level"
10114,101,14,l,NULL,"# Clientes con activation_dt = 1900-01-01"
10115,101,1,g,null_fields,"# Registros con algun valor NULL"
10116,101,2,g,join_segments,"# Registros que no cruzan con segments"
10117,101,3,g,birth_dt_ok,"# Registros con formato de fecha birth_dt mal formateados"
10118,101,4,g,party_id_num_length,"# Registros del segmento Consumer por longitud de party_identification_num"
10119,101,5,g,count_pk,"# Duplicados en PK (COUNTRY_ID, MONTH_ID, OB_ID, CUSTOMER_ID)"
