id_screen,id_fileentity,screen_number,screen_type,screen_field,screen_desc
11001,110,1,l,NULL,"# Registros"
11002,110,2,l,NULL,"# Clientes"
11003,110,3,l,NULL,"# Duplicados en PK (COUNTRY_ID, MONTH_ID, SUBSCRIPTION_ID, ADMINISTRATOR_ID)"
11004,110,4,l,segment_cd,"# Lineas por SEGMENT_CD."
11005,110,1,g,null_fields,"# Registros con algun valor NULL"
11006,110,2,g,join_segment_cd,"# Registros de F_LINES con SEGMENT_CD not in SEGMENTS"
11007,110,3,g,join_dim_postal,"# Registros de F_LINES con POSTAL_CD not in DIM_POSTAL"
11008,110,4,g,join_dim_f_tariff_plan_voice,"# Registros de F_LINES con VOICE_TARIFF_PLAN_ID not in DIM_F_TARIFF_PLAN"
11009,110,5,g,join_dim_f_tariff_plan_bband,"# Registros de F_LINES con BBAND_TARIFF_PLAN_ID not in DIM_F_TARIFF_PLAN"
11010,110,6,g,join_dim_f_tariff_plan_tv,"# Registros de F_LINES con TV_TARIFF_PLAN_ID not in DIM_F_TARIFF_PLAN"
11011,110,7,g,join_customers,"# Registros de F_LINES con CUSTOMER_ID not in CUSTOMER"
11012,110,8,g,join_revenues,"# Registros con total_month_rv != (voice_month_rv+tv_month_rv+bband_month_rv)"
11013,110,9,g,count_pk,"# Duplicados en PK (COUNTRY_ID, MONTH_ID, SUBSCRIPTION_ID, ADMINISTRATOR_ID)"
