id_screen,id_fileentity,screen_number,screen_type,screen_field,screen_desc
11401,114,1,l,NULL,"# Registros"
11402,114,2,l,NULL,"# Líneas distintas"
11403,114,3,l,NULL,"# Duplicados en PK (COUNTRY_ID, MONTH_ID, CUSTOMER_ID, MSISDN_ID, BILLING_CYCLE_ID, SUBSCRIPTION_ID)"
11404,114,4,l,NULL,"SUM quota_data_rv"
11405,114,5,l,NULL,"SUM quota_voice_rv"
11406,114,6,l,NULL,"SUM quota_mess_rv"
11407,114,7,l,NULL,"SUM quota_agg_rv"
11408,114,8,l,NULL,"SUM traffic_data_rv"
11409,114,9,l,NULL,"SUM traffic_voice_rv"
11410,114,10,l,NULL,"SUM traffic_mess_rv"
11411,114,11,l,NULL,"SUM traffic_agg_rv"
11412,114,12,l,NULL,"SUM roaming_rv"
11413,114,13,l,NULL,"SUM top_up_co_rv"
11414,114,14,l,NULL,"SUM others_rv"
11415,114,15,l,NULL,"SUM tot_rv"
11416,114,16,l,NULL,"SUM top_up_rv"
11417,114,17,l,NULL,"SUM total_invoice_rv"
11418,114,1,g,null_fields,"# Registros con algun valor NULL"
11419,114,2,g,msisdn_id_length,"# Registros por longitud de msisdn_id"
11420,114,3,g,join_customers,"# Registros de INVOICE con CUSTOMER_ID not in CUSTOMER"
11421,114,4,g,activation_dt_ok,"# Registros con formato de fecha activation_dt mal formateado"
11422,114,5,g,join_billing,"# Registros de INVOICE con BILLING_CYCLE_ID not in DIM_M_BILLING_CYCLE"
11423,114,6,g,count_pk,"# Duplicados en PK (COUNTRY_ID, MONTH_ID, CUSTOMER_ID, MSISDN_ID, BILLING_CYCLE_ID, SUBSCRIPTION_ID)"
