id_screen,id_fileentity,screen_number,screen_type,screen_field,screen_desc
11701,117,1,l,NULL,"# Registros"
11702,117,2,l,NULL,"# Duplicados en PK (gbic_op_id, month, subscription_id, msisdn_id, id_service, service_activ_dt)"
11703,117,1,g,null_fields,"# Registros con algun valor NULL"
11704,117,2,g,msisdn_id_length,"# Registros por longitud de msisdn_id"
11705,117,3,g,subscription_id_length,"# Registros por longitud de subscription_id"
11706,117,4,g,service_active_dt_format,"# Registros con campo SERVICE_ACTIV_DT sin formato de fecha"
11707,117,5,g,activation_dt_format,"# Registros con campo ACTIVATION_DT sin formato de fecha"
11708,117,6,g,join_dim_m_services,"# Registros de SERVICES_LINE con ID_SERVICE not in DIM_M_SERVICES"
11709,117,7,g,join_dim_m_group_sva,"# Registros de SERVICES_LINE con GROUP_SVA not in DIM_M_GROUP_SVA"
11710,117,8,g,join_m_lines,"# Registros de SERVICES_LINE con SUBSCRIPTION_ID not in M_LINES"
11711,117,9,g,count_pk,"# Duplicados en PK (COUNTRY_ID, MONTH_ID, SUBSCRIPTION_ID, MSISDN_ID, ID_SERVICE, SERVICE_ACTIV_DATE)"
