id_screen,id_fileentity,screen_number,screen_type,screen_field,screen_desc
11801,118,1,l,NULL,"# Registros"
11802,118,2,l,NULL,"# msisdn_id"
11803,118,3,l,NULL,"# subscription_id"
11804,118,4,l,NULL,"SUM(total_qt)"
11805,118,5,l,NULL,"SUM(mb_2g_qt)"
11806,118,6,l,NULL,"SUM(mb_3g_qt)"
11807,118,7,l,NULL,"SUM(mb_4g_qt)"
11808,118,8,l,NULL,"SUM(mb_roaming)"
11809,118,9,l,day_cd,"# Registros por DAY_CD"
11810,118,10,l,NULL,"# Duplicados en PK (GBIC_OP_ID, MONTH, BILLING_CYCLE_ID, SUBSCRIPTION_ID, MSISDN_ID, DAY_CD, TIME_RANGE_CD, IMEI_NUM, BILLING_CYCLE_DT)"
11811,118,1,g,null_fields,"# Registros con algun valor NULL"
11812,118,2,g,msisdn_id_length,"# Registros por longitud de msisdn_id"
11813,118,3,g,join_dim_billing_cycle,"# Registros de TRAFFIC_DATA con BILLING_CYCLE_ID not in DIM_M_BILLING_CYCLE"
11814,118,4,g,count_pk,"# Duplicados en PK (BILLING_CYCLE_ID, SUBSCRIPTION_ID, MSISDN_ID, DAY_CD, TIME_RANGE_CD, IMEI_NUM, BILLING_CYCLE_DT)"
11815,118,5,g,join_m_lines,"# Registros de TRAFFIC_DATA con MSISDN_ID not in M_LINES"
